fon_kodu;fon_adi;kanal;alis_tarihi;pay_sayisi;alis_fiyati;maliyet_tl
FBV;İŞ PORTFÖY MODEL SERBEST FON;YKB;05.03.2025;3208;4,674612;14996,155295999999
FDG;FONMAP PORTFÖY BİRİNCİ DEĞİŞKEN FON;YKB;24.06.2025;23476;1,789061;41999,996036
FDG;FONMAP PORTFÖY BİRİNCİ DEĞİŞKEN FON;YKB;04.09.2025;14940;2,008008;29999,639519999997
GBV;GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON;YKB;17.01.2025;1650;6,058326;9996,2379
GGK;INVEO PORTFÖY ALTIN FON;VKF;11.10.2023;1000;3,664502;3664,502
GGK;INVEO PORTFÖY ALTIN FON;YKB;29.02.2024;229;4,364437;999,456073
GGK;INVEO PORTFÖY ALTIN FON;YKB;29.02.2024;57;4,364437;248,77290899999997
GPG;INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON;VKF;08.11.2023;100;5,823748;582,3748
GPG;INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON;VKF;20.12.2023;100;6,844785;684,4784999999999
GPG;INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON;YKB;21.02.2024;287;6,960054;1997,5354980000002
HJB;HEDEF PORTFÖY BİRİNCİ DEĞİŞKEN FON;VKF;11.10.2023;2237;1,787374;3998,355638
IVY;İSTANBUL PORTFÖY BLOCKCHAIN TEKNOLOJİLERİ DEĞİŞKEN FON;VKF;20.12.2023;810;1,850099;1498,58019
IVY;İSTANBUL PORTFÖY BLOCKCHAIN TEKNOLOJİLERİ DEĞİŞKEN FON;YKB;10.07.2024;5307;2,637789;13998,746223
IVY;İSTANBUL PORTFÖY BLOCKCHAIN TEKNOLOJİLERİ DEĞİŞKEN FON;YKB;11.12.2024;1023;3,518197;3599,115531
KZL;KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU;KVT;22.02.2024;238;8,36312;1990,42256
KZL;KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU;KVT;29.02.2024;117;8,495812;994,0100040000001
MJG;AKTİF PORTFÖY GÜMÜŞ FON SEPETİ FONU;VKF;22.12.2023;731;2,735101;1999,3588309999998
MKG;AKTİF PORTFÖY ALTIN KATILIM FONU;KVT;29.02.2024;184;5,430761;999,260024
MKG;AKTİF PORTFÖY ALTIN KATILIM FONU;VKF;11.10.2023;687;4,362576;2997,089712
MPP;MEKSA PORTFÖY PRİME SERBEST FON;YKB;02.07.2025;2968;16,845261;49996,734648000005
MPP;MEKSA PORTFÖY PRİME SERBEST FON;YKB;10.09.2025;550;19,224472;10573,4596
MPP;MEKSA PORTFÖY PRİME SERBEST FON;YKB;17.09.2025;2040;19,604828;39993,84912
MTH;MT PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;04.02.2026;12905;1,937151;24998,933655
MTH;MT PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;05.02.2026;5178;1,931127;9999,375606
MTH;MT PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;06.02.2026;5239;1,908424;9998,233336
NAU;NEO PORTFÖY ALTIN FONU;YKB;14.11.2024;57834;1,383257;79999,285338
NAU;NEO PORTFÖY ALTIN FONU;YKB;15.11.2024;58585;1,365514;79998,63768999999
NAU;NEO PORTFÖY ALTIN FONU;YKB;26.11.2024;59541;1,427584;84999,77894399999
NVB;NEO PORTFÖY İKİNCİ PARA PİYASASI (TL) FON;YKB;16.05.2024;38617;1,812672;69999,954624
OJK;QNB PORTFÖY ALTIN FONU;YKB;29.02.2024;731;4,099457;2996,703067
OJK;QNB PORTFÖY ALTIN FONU;YKB;29.02.2024;48;4,099457;196,773936
