fon_kodu;kategoriler
GGP;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GGR;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GHS;Hisse Senedi Yoğun, Yerli Hisse
GID;Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
GIE;Hisse Senedi Yoğun, Sürdürülebilirlik, Tematik Hisse, Yerli Hisse
GIH;Hisse Senedi Yoğun, Tarım - Gıda, Tematik Hisse, Yerli Hisse
GJA;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GJB;K.D.
GJD;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GJE;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GJF;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GJH;Para Piyasası, Serbest Para Piyasası Fonları
GJO;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GKF;K.D.
GKG;Hisse Senedi Yoğun, Kar Payı Ödeyen Fonlar, Yerli Hisse
GKH;Para Piyasası, Serbest Katılım Fonları, Serbest Para Piyasası Fonları
GKK;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GKL;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
GKM;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
GKV;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
GL1;Hisse Senedi Yoğun, Yerli Hisse
GLC;K.D.
GLG;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
GLP;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GLS;Kira Sertifikaları
GMA;K.D.
GMC;Emtia Fonları, Gümüş Fonları
GMD;K.D.
GME;Serbest Özel Fonlar, Özel Fon
GMI;Emtia Fonları, Gümüş Fonları
GMM;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
GMN;Para Piyasası, Serbest Para Piyasası Fonları
GMO;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
GMP;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GMR;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
GMZ;Serbest Özel Fonlar, Özel Fon
GNH;Hisse Senedi Yoğun, Yerli Hisse
GNK;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GNL;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GNP;Para Piyasası
GNS;Hisse Senedi Yoğun, Yerli Hisse
GNZ;Özel Fon
GO1;K.D.
GO2;K.D.
GO3;K.D.
GO4;K.D.
GO6;Para Piyasası
GO9;Hisse Senedi Yoğun, Yerli Hisse
GOF;Döviz Fon
GOH;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
GOL;Altın Fonları, Emtia Fonları
GOP;Para Piyasası
GP1;Serbest Özel Fonlar, Özel Fon
GP3;Döviz Fon
GPA;Döviz Fon, Eurobond Borçlanma Araçları
GPB;K.D.
GPC;Döviz Fon
GPF;K.D.
GPG;K.D.
GPH;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GPI;K.D.
GPJ;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GPL;Döviz Fon
GPM;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GPN;Para Piyasası
GPT;Teknoloji, Tematik
GPU;K.D.
GPV;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GPZ;Para Piyasası
GRL;K.D.
GRO;Döviz Fon
GRT;Hisse Senedi Yoğun, Teknoloji, Tematik Hisse, Yerli Hisse
GSE;Döviz Fon
GSG;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GSL;Serbest Özel Fonlar, Özel Fon
GSO;Serbest Özel Fonlar, Özel Fon
GSP;Hisse Senedi Yoğun, Kar Payı Ödeyen Fonlar, Yerli Hisse
GSR;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GTA;Altın Fonları, Emtia Fonları
GTF;K.D.
GTH;Hisse Senedi Yoğun, Yerli Hisse
GTK;Borçlanma Araçları - Kamu, Özel Fon
GTL;Para Piyasası
GTM;Hisse Senedi Yoğun, Kar Payı Ödeyen Fonlar, Yerli Hisse
GTN;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GTY;K.D.
GTZ;Emtia Fonları, Gümüş Fonları
GUA;Özel Fon
GUB;Borçlanma Araçları - Özel Sektör
GUC;Para Piyasası, Serbest Para Piyasası Fonları, Serbest Özel Fonlar, Özel Fon
GUF;Emtia Fonları, Gümüş Fonları
GUH;Teknoloji, Tematik Hisse, Yabancı Fonlar, Yabancı Hisse
GUK;Emtia Fonları, Gümüş Fonları, Serbest Katılım Fonları
GUM;Emtia Fonları, Gümüş Fonları
GUV;Uzun Vadeli Borçlanma Araçları
GVA;Elektrikli Araç, Teknoloji, Tematik
GVB;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GVC;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GVD;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GVI;K.D.
GVL;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GVZ;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GYC;Serbest Özel Fonlar, Özel Fon
GYG;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GYK;K.D.
GYL;Kısa Vadeli, Kısa Vadeli Borçlanma Araçları
GYN;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GYR;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GZB;Serbest Özel Fonlar, Özel Fon
GZD;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GZE;Emtia Fonları
GZG;Sağlık - İlaç, Teknoloji, Tematik
GZH;Sürdürülebilirlik, Tematik
GZJ;K.D.
GZL;Tarım - Gıda, Tematik
GZM;K.D.
GZN;K.D.
GZO;Döviz Fon
GZP;K.D.
GZR;Hisse Senedi Yoğun, Sürdürülebilirlik, Tematik Hisse, Yerli Hisse
GZU;Döviz Fon, Serbest Özel Fonlar, Özel Fon
GZV;Sürdürülebilirlik, Tematik
GZY;Tematik
GZZ;Teknoloji, Tematik
HAE;Döviz Fon
HAG;Döviz Fon
HAI;Altın Fonları, Emtia Fonları
HAM;Altın Fonları, Emtia Fonları
HAR;K.D.
HAT;Hisse Senedi Yoğun, Serbest İstatistiksel Arbitraj Fonları
HB1;Döviz Fon
HB2;Döviz Fon
HBF;Altın Fonları, Emtia Fonları
HBN;K.D.
HBU;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
HBV;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
HCV;K.D.
HDA;Hisse Senedi Yoğun, Serbest İstatistiksel Arbitraj Fonları
HDD;K.D.
HDE;Döviz Fon
HDH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
HDK;Hisse Senedi Yoğun, Serbest İstatistiksel Arbitraj Fonları
HDV;Döviz Fon
HEH;Hisse Senedi Yoğun, Serbest İstatistiksel Arbitraj Fonları
HFA;Serbest Özel Fonlar, Özel Fon
HFI;Hisse Senedi Yoğun, Katılım Hisse, Serbest Hisse, Serbest Katılım Fonları, Serbest Katılım Hisse, Yerli Hisse
HFO;K.D.
HFR;Hisse Senedi Yoğun, Yerli Hisse
HFV;Döviz Fon
HFY;Kısa Vadeli, Serbest Katılım Fonları
HGC;Döviz Fon
HGH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
HGJ;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
HGM;Hisse Senedi Yoğun, Yerli Hisse
HGR;K.D.
HGT;Döviz Fon
HGU;Serbest Özel Fonlar, Özel Fon
HGV;K.D.
HIA;Serbest İstatistiksel Arbitraj Fonları
HIF;K.D.
HIH;Hisse Senedi Yoğun, Holding, Tematik Hisse, Yerli Hisse
HII;Döviz Fon, Serbest Özel Fonlar, Özel Fon
HIM;Hisse Senedi Yoğun, Serbest İstatistiksel Arbitraj Fonları
HIP;Para Piyasası
HIZ;K.D.
HJA;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
HJB;K.D.
HKG;K.D.
HKH;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
HKJ;Para Piyasası, Serbest Para Piyasası Fonları
HKM;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
HKP;Hisse Senedi Yoğun, Katılım Hisse, Serbest Hisse, Serbest Katılım Fonları, Serbest Katılım Hisse, Yerli Hisse
HKR;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
HKV;Kısa Vadeli, Kısa Vadeli Borçlanma Araçları
HLA;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
HLL;Para Piyasası
HLR;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
HMC;K.D.
HME;Döviz Fon
HMG;Hisse Senedi Yoğun, Mutlak Getiri Hedefli
HMK;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
HML;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
HMS;Hisse Senedi Yoğun, Sürdürülebilirlik, Tematik Hisse, Yerli Hisse
HMV;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
HNC;Hisse Senedi Yoğun, Yerli Hisse
HNS;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
HOA;Teknoloji, Tematik
HOY;Yabancı BYF Sepetleri, Yabancı Fonlar
HP3;Döviz Fon
HPC;Serbest Özel Fonlar, Özel Fon
HPD;K.D.
HPF;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
HPH;Para Piyasası
HPI;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
HPJ;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
HPL;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
HPO;K.D.
HPT;Kısa Vadeli, Kısa Vadeli Borçlanma Araçları
HPV;Kira Sertifikaları, Kira Sertifikaları - Kısa Vadeli, Kısa Vadeli
HPZ;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
HRZ;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
HSA;K.D.
HSL;Para Piyasası
HSP;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
HST;K.D.
HTF;Para Piyasası, Serbest Para Piyasası Fonları
HTJ;Teknoloji, Tematik
HTK;Teknoloji, Tematik
HTS;Döviz Fon
HUI;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
HVA;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
HVB;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
HVC;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
HVI;Hisse Senedi Yoğun, Holding, Tematik Hisse, Yerli Hisse
HVK;K.D.
HVS;Hisse Senedi Yoğun, Yerli Hisse
HVT;Para Piyasası
HVU;K.D.
HVV;Döviz Fon, Serbest Özel Fonlar, Özel Fon
HVZ;Hisse Senedi Yoğun, Yerli Hisse
HYP;K.D.
HYU;Kısa Vadeli
HYV;Para Piyasası
HYY;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
HZV;Serbest Özel Fonlar
IAC;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
IAE;K.D.
IAI;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
IAM;K.D.
IAR;K.D.
IAS;Hisse Senedi Yoğun, Mutlak Getiri Hedefli
IAT;Kira Sertifikaları
IAU;Hisse Senedi Yoğun, Serbest İstatistiksel Arbitraj Fonları
IAY;Altın Fonları, Emtia Fonları
IBB;K.D.
IBC;Serbest Özel Fonlar, Özel Fon
IBJ;Döviz Fon
IBK;Kısa Vadeli, Kısa Vadeli Borçlanma Araçları
IBM;Mutlak Getiri Hedefli
IBP;Döviz Fon, Serbest Özel Fonlar, Özel Fon
IBR;Mutlak Getiri Hedefli
ICA;Altın Fonları, Emtia Fonları
ICC;K.D.
ICD;K.D.
ICE;Para Piyasası
ICF;Hisse Senedi Yoğun, Yerli Hisse
ICG;Döviz Fon, Serbest Özel Fonlar, Özel Fon
ICH;K.D.
ICN;Serbest İstatistiksel Arbitraj Fonları
ICS;Döviz Fon
ICV;K.D.
ICZ;Hisse Senedi Yoğun, Teknoloji, Tematik Hisse, Yerli Hisse
IDD;K.D.
IDF;Döviz Fon
IDH;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
IDI;Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
IDL;Para Piyasası
IDO;Döviz Fon
IDP;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
IDV;Döviz Fon, Serbest Özel Fonlar, Özel Fon
IDY;K.D.
IED;K.D.
IEN;Hisse Senedi Yoğun, Serbest Hisse, Tematik Hisse, Yerli Hisse
IEV;Teknoloji, Tematik
IEZ;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
IFD;Döviz Fon, Serbest Özel Fonlar, Özel Fon
IFN;Hisse Senedi Yoğun, Sürdürülebilirlik, Tematik Hisse, Yerli Hisse
IFV;Kısa Vadeli, Kısa Vadeli Borçlanma Araçları
IFY;Serbest Özel Fonlar, Özel Fon
IGF;Döviz Fon, Serbest Özel Fonlar, Özel Fon
IGL;Para Piyasası
IGM;Döviz Fon, Serbest Özel Fonlar, Özel Fon
IGZ;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
IH1;K.D.
IHA;Hisse Senedi Yoğun, Yerli Hisse
IHC;K.D.
IHK;Hisse Senedi Yoğun, Yerli Hisse
IHP;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
IHT;Hisse Senedi Yoğun, Yerli Hisse
IHV;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
IHY;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
IHZ;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
IIE;K.D.
IIF;Serbest İstatistiksel Arbitraj Fonları
IIH;Hisse Senedi Yoğun, Yerli Hisse
IIN;Para Piyasası, Serbest Para Piyasası Fonları
IJA;K.D.
IJB;Teknoloji, Tematik
IJC;Teknoloji, Tematik
IJE;Döviz Fon, Serbest Özel Fonlar, Özel Fon
IJF;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
IJH;K.D.
IJI;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
IJK;Döviz Fon, Serbest Özel Fonlar, Özel Fon
IJL;Döviz Fon
IJP;Blockchain, Teknoloji, Tematik
IJT;Tarım - Gıda, Tematik
IJV;Para Piyasası
IJZ;Teknoloji, Tematik
IK2;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
IKL;Sağlık - İlaç, Tematik
IKP;Sürdürülebilirlik, Tematik
IKV;Kısa Vadeli, Kısa Vadeli Borçlanma Araçları
ILC;Döviz Fon
ILE;Serbest Özel Fonlar, Özel Fon
ILH;Para Piyasası, Serbest Para Piyasası Fonları
ILP;Döviz Fon, Serbest Özel Fonlar, Özel Fon
ILU;K.D.
ILZ;K.D.
IMB;Hisse Senedi Yoğun, Yerli Hisse
IMF;K.D.
IMG;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
IMH;Serbest Özel Fonlar, Özel Fon
IML;Hisse Senedi Yoğun, Yerli Hisse
IMO;Serbest Özel Fonlar, Özel Fon
IMS;Serbest Özel Fonlar, Özel Fon
IMT;Döviz Fon, Serbest Özel Fonlar, Özel Fon
IMY;Döviz Fon, Serbest Özel Fonlar, Özel Fon
IMZ;Döviz Fon, Serbest Özel Fonlar, Özel Fon
INH;Özel Fon
INV;Kar Payı Ödeyen Fonlar, Serbest Özel Fonlar, Serbest İstatistiksel Arbitraj Fonları, Özel Fon
INZ;Serbest İstatistiksel Arbitraj Fonları
IOG;Emtia Fonları, Gümüş Fonları
IOH;Döviz Fon
IOJ;Döviz Fon
IOL;Döviz Fon, Serbest Özel Fonlar, Özel Fon
IOO;Para Piyasası
IOP;Para Piyasası
IOT;Döviz Fon, Serbest Özel Fonlar, Özel Fon
IOV;Döviz Fon, Serbest Özel Fonlar, Özel Fon
IPA;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
IPB;K.D.
IPC;Serbest Özel Fonlar, Özel Fon
IPE;Serbest Özel Fonlar, Özel Fon
IPG;K.D.
IPJ;Elektrikli Araç, Teknoloji, Tematik
IPK;Serbest Özel Fonlar, Özel Fon
IPO;Serbest Özel Fonlar, Özel Fon
IPR;Serbest Özel Fonlar, Özel Fon
IPU;Serbest Özel Fonlar, Özel Fon
IPV;Döviz Fon, Eurobond Borçlanma Araçları
IRB;Hisse Senedi Yoğun, Serbest İstatistiksel Arbitraj Fonları
IRE;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
IRF;K.D.
IRO;Teknoloji, Tematik
IRT;Teknoloji, Tematik
IRV;Serbest İstatistiksel Arbitraj Fonları
IRY;Para Piyasası
ISR;Döviz Fon, Serbest Özel Fonlar, Özel Fon
ISS;Serbest Özel Fonlar, Özel Fon
IST;Kısa Vadeli, Kısa Vadeli Borçlanma Araçları
ITA;Döviz Fon, Serbest Özel Fonlar, Özel Fon
ITC;Hisse Senedi Yoğun, Kar Payı Ödeyen Fonlar, Yerli Hisse
ITD;Döviz Fon, Serbest Özel Fonlar, Özel Fon
ITL;Serbest Özel Fonlar, Özel Fon
ITP;Teknoloji, Tematik
ITR;Serbest Özel Fonlar, Özel Fon
ITV;Döviz Fon
ITZ;Döviz Fon, Serbest Özel Fonlar, Özel Fon
IUA;Döviz Fon
IUB;Döviz Fon, Serbest Özel Fonlar, Özel Fon
IUC;Serbest Özel Fonlar, Özel Fon
IUF;Döviz Fon
IUH;Teknoloji, Tematik
IUM;Döviz Fon, Serbest Özel Fonlar, Özel Fon
IUN;Döviz Fon, Serbest Özel Fonlar, Özel Fon
IUV;Döviz Fon
IUZ;Para Piyasası
IV6;Döviz Fon, Serbest Özel Fonlar, Özel Fon
IV7;Serbest Özel Fonlar, Özel Fon
IV8;Kira Sertifikaları
IVA;Serbest Özel Fonlar, Özel Fon
IVF;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
IVS;Serbest İstatistiksel Arbitraj Fonları
IVY;Blockchain, Teknoloji, Tematik
IYB;K.D.
IYP;Serbest Özel Fonlar, Özel Fon
IYS;Serbest Özel Fonlar, Özel Fon
IYV;K.D.
IZA;Serbest Özel Fonlar, Özel Fon
IZB;K.D.
IZE;Döviz Fon, Serbest Özel Fonlar, Özel Fon
IZL;Döviz Fon
IZS;K.D.
IZV;Serbest Özel Fonlar, Özel Fon
IZY;Döviz Fon
JET;Teknoloji, Tematik
JOT;Döviz Fon, Serbest Özel Fonlar, Özel Fon
JUP;Döviz Fon
KAC;Kısa Vadeli, Serbest Katılım Fonları
KAN;Altın Fonları, Emtia Fonları, Serbest Katılım Fonları
KAV;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
KBJ;Hisse Senedi Yoğun, Kar Payı Ödeyen Fonlar, Serbest Hisse, Yerli Hisse
KBP;Hisse Senedi Yoğun, Katılım Hisse, Serbest Hisse, Serbest Katılım Fonları, Serbest Katılım Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
KBZ;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları, Serbest Özel Fonlar, Özel Fon
KCL;K.D.
KCR;K.D.
KCV;K.D.
KDE;K.D.
KDI;Döviz Fon
KDK;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları, Serbest Özel Fonlar, Özel Fon
KDL;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
KDO;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
KDS;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
KDT;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
KDV;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
KDZ;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
KEI;Serbest Katılım Fonları, Serbest Özel Fonlar, Özel Fon
KEO;Serbest Katılım Fonları, Serbest Özel Fonlar, Özel Fon
KEU;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
KFZ;Serbest Katılım Fonları, Serbest Özel Fonlar, Özel Fon
KGM;Emtia Fonları, Gümüş Fonları
KH1;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
KHA;Hisse Senedi Yoğun, Yerli Hisse
KHB;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
KHC;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
KHD;Hisse Senedi Yoğun, Katılım Hisse, Serbest Hisse, Serbest Katılım Fonları, Serbest Katılım Hisse, Yerli Hisse
KHF;Hisse Senedi Yoğun, Katılım Hisse, Serbest Hisse, Serbest Katılım Fonları, Serbest Katılım Hisse, Yerli Hisse
KHJ;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
KHP;Para Piyasası
KHT;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
KHU;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları, Serbest Özel Fonlar, Özel Fon
KIA;Mutlak Getiri Hedefli
KIB;Teknoloji, Tematik
KIE;Para Piyasası
KIH;Serbest İstatistiksel Arbitraj Fonları
KIK;K.D.
KIS;Döviz Fon, Kira Sertifikaları - Döviz
KJK;Serbest Katılım Fonları, Serbest Özel Fonlar, Yabancı Fonlar, Özel Fon
KKB;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları, Serbest Özel Fonlar, Özel Fon
KKC;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
KKE;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları, Serbest Özel Fonlar, Özel Fon
KKH;K.D.
KKL;Kısa Vadeli, Serbest Katılım Fonları
KKO;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
KKP;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
KKT;Kısa Vadeli, Serbest Katılım Fonları
KLH;Hisse Senedi Yoğun, Katılım Hisse, Serbest Hisse, Serbest Katılım Fonları, Serbest Katılım Hisse, Yerli Hisse
KLI;Para Piyasası, Serbest Katılım Fonları, Serbest Para Piyasası Fonları
KLL;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları, Serbest Özel Fonlar, Özel Fon
KLM;Döviz Fon, Serbest Özel Fonlar, Özel Fon
KLS;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
KLU;Para Piyasası
KMA;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları, Serbest Özel Fonlar, Özel Fon
KME;K.D.
KMF;Altın Fonları, Emtia Fonları
KMN;K.D.
KMT;Serbest Katılım Fonları, Serbest Özel Fonlar, Özel Fon
KNC;Döviz Fon, Serbest Özel Fonlar, Özel Fon
KNI;Para Piyasası, Serbest Para Piyasası Fonları
KNJ;K.D.
KNP;Döviz Fon, Serbest Özel Fonlar, Özel Fon
KNS;Serbest Katılım Fonları, Serbest Özel Fonlar, Özel Fon
KNT;Döviz Fon, Serbest Özel Fonlar, Özel Fon
KNV;Döviz Fon, Serbest Özel Fonlar, Özel Fon
KNZ;Döviz Fon, Serbest Özel Fonlar, Özel Fon
KO4;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
KOB;Serbest Katılım Fonları, Serbest Özel Fonlar, Özel Fon
KOD;K.D.
KOP;Döviz Fon
KOT;Hisse Senedi Yoğun, Holding, Tematik Hisse, Yerli Hisse
KOZ;Döviz Fon, Serbest Özel Fonlar, Özel Fon
KP3;Döviz Fon
KPA;Hisse Senedi Yoğun, Kar Payı Ödeyen Fonlar, Katılım Hisse, Yerli Hisse
KPB;Serbest Özel Fonlar, Özel Fon
KPC;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
KPD;Kar Payı Ödeyen Fonlar, Serbest Katılım Fonları
KPF;Hisse Senedi Yoğun, Mutlak Getiri Hedefli
KPH;Hisse Senedi Yoğun, Kar Payı Ödeyen Fonlar, Yerli Hisse
KPI;Para Piyasası
KPK;Döviz Fon, Serbest Özel Fonlar, Özel Fon
KPP;Para Piyasası
KPR;Para Piyasası, Serbest Katılım Fonları, Serbest Para Piyasası Fonları
KPU;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
KRC;K.D.
KRF;K.D.
KRH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
KRO;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
KRR;K.D.
KRS;Döviz Fon
KRT;Döviz Fon
KRV;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
KSA;Kısa Vadeli
KSC;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları, Serbest Özel Fonlar, Özel Fon
KSK;Para Piyasası
KSL;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
KSM;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
KSP;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
KSR;Sürdürülebilirlik, Tematik
KST;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
KSV;Kısa Vadeli, Serbest Katılım Fonları
KSY;Serbest Özel Fonlar, Özel Fon
KTE;Döviz Fon, Kira Sertifikaları - Döviz, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları, Serbest Özel Fonlar, Özel Fon
KTI;Hisse Senedi Yoğun, Katılım Hisse, Yerli Hisse
KTJ;Teknoloji, Tematik
KTM;K.D.
KTN;Kira Sertifikaları
KTR;Serbest Katılım Fonları
KTS;Hisse Senedi Yoğun, Katılım Hisse, Serbest Hisse, Serbest Katılım Fonları, Serbest Katılım Hisse, Yerli Hisse
KTT;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
KTU;Serbest Katılım Fonları, Serbest Özel Fonlar, Özel Fon
KTV;Kira Sertifikaları, Kira Sertifikaları - Kısa Vadeli, Kısa Vadeli
KU3;K.D.
KUA;K.D.
KUB;Döviz Fon
KUD;K.D.
KUP;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
KUT;K.D.
KVA;Kısa Vadeli, Serbest Katılım Fonları, Serbest Özel Fonlar, Özel Fon
KVK;Serbest Katılım Fonları, Serbest İstatistiksel Arbitraj Fonları
KVR;Kısa Vadeli, Serbest Katılım Fonları
KVS;Kısa Vadeli
KVT;Hisse Senedi Yoğun, Yerli Hisse
KYA;Hisse Senedi Yoğun, Yerli Hisse
KYR;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
KYS;Döviz Fon
KZL;Altın Fonları, Emtia Fonları
KZO;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
KZU;Altın Fonları, Emtia Fonları
LAI;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
LET;Döviz Fon, Serbest Özel Fonlar, Özel Fon
LFD;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
