fon_kodu;kategoriler
BID;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
BIG;Hisse Senedi Yoğun, Yerli Hisse
BIH;Hisse Senedi Yoğun, Yerli Hisse
BIK;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
BIO;Hisse Senedi Yoğun, Sürdürülebilirlik, Tematik Hisse, Yerli Hisse
BIP;Para Piyasası, Serbest Para Piyasası Fonları
BIS;K.D.
BIY;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
BJD;Döviz Fon
BKO;Serbest Katılım Fonları, Serbest Özel Fonlar, Özel Fon
BKY;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
BLA;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
BLD;K.D.
BLT;Altın Fonları, Emtia Fonları
BMU;Hisse Senedi Yoğun, Mutlak Getiri Hedefli
BNC;K.D.
BNH;Bankacılık, Hisse Senedi Yoğun, Serbest Hisse, Tematik Hisse, Yerli Hisse
BOH;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Serbest Hisse, Tematik Hisse, Yerli Hisse
BOL;K.D.
BON;K.D.
BOP;Döviz Fon, Serbest Özel Fonlar, Özel Fon
BOS;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
BP5;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
BPD;Döviz Fon
BPZ;Para Piyasası
BRC;Hisse Senedi Yoğun, Serbest İstatistiksel Arbitraj Fonları
BRF;K.D.
BRG;Para Piyasası
BRH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
BRR;Kısa Vadeli, Kısa Vadeli Borçlanma Araçları
BRT;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
BRZ;Döviz Fon, Serbest Özel Fonlar, Özel Fon
BS1;K.D.
BSA;Serbest Özel Fonlar, Özel Fon
BSD;Döviz Fon
BSE;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Serbest Hisse, Tematik Hisse, Yerli Hisse
BSF;Serbest Özel Fonlar, Özel Fon
BSH;Bankacılık, Hisse Senedi Yoğun, Serbest Hisse, Tematik Hisse, Yerli Hisse
BSM;K.D.
BSN;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
BST;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
BTE;Teknoloji, Tematik
BTJ;Hisse Senedi Yoğun, Serbest İstatistiksel Arbitraj Fonları
BTK;Teknoloji, Tematik
BTP;Para Piyasası, Serbest Para Piyasası Fonları
BTY;Döviz Fon, Serbest Özel Fonlar, Özel Fon
BTZ;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
BUB;K.D.
BUC;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
BUP;Serbest Özel Fonlar, Özel Fon
BUT;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
BUV;K.D.
BUY;Hisse Senedi Yoğun, Yerli Hisse
BV1;Hisse Senedi Yoğun, Yerli Hisse
BVB;Serbest Özel Fonlar, Özel Fon
BVC;Serbest Özel Fonlar, Özel Fon
BVD;K.D.
BVF;Para Piyasası
BVH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
BVI;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
BVK;Serbest Katılım Fonları
BVM;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
BVT;Serbest Özel Fonlar, Özel Fon
BVV;Teknoloji, Tematik
BVZ;Serbest İstatistiksel Arbitraj Fonları
BYZ;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Serbest Hisse, Tematik Hisse, Yerli Hisse
CAH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
CBD;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Serbest Hisse, Tematik Hisse, Yerli Hisse
CBN;Döviz Fon, Serbest Özel Fonlar, Özel Fon
CBO;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
CEY;Döviz Fon, Serbest Özel Fonlar
CFO;Para Piyasası
CGD;Döviz Fon, Serbest Özel Fonlar, Özel Fon
CHY;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
CIN;K.D.
CJD;Döviz Fon
CJF;Döviz Fon, Serbest Özel Fonlar, Özel Fon
CJG;Döviz Fon, Serbest Özel Fonlar, Özel Fon
CJH;Döviz Fon
CKF;K.D.
CKL;K.D.
CKS;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
COT;Döviz Fon
CPT;Teknoloji, Tematik
CPU;Teknoloji, Tematik
CRL;Döviz Fon, Serbest Özel Fonlar, Özel Fon
CSD;Döviz Fon, Serbest Özel Fonlar, Özel Fon
CSH;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
CTF;Döviz Fon, Serbest Özel Fonlar, Özel Fon
CTG;Serbest Özel Fonlar, Özel Fon
CTM;Serbest Özel Fonlar, Özel Fon
CTP;Döviz Fon, Serbest Özel Fonlar, Özel Fon
CTV;Döviz Fon, Serbest Özel Fonlar, Özel Fon
CVA;Borçlanma Araçları - Kamu, Özel Fon
CVB;Serbest Özel Fonlar, Özel Fon
CVC;Kar Payı Ödeyen Fonlar, Serbest Özel Fonlar, Özel Fon
CVD;Döviz Fon, Serbest Özel Fonlar, Özel Fon
CVE;Borçlanma Araçları - Kamu, Özel Fon
CVF;Serbest Özel Fonlar, Sürdürülebilirlik, Tematik, Özel Fon
CVK;K.D.
CVL;K.D.
CYD;Döviz Fon
DA1;Döviz Fon
DAC;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DAE;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
DAH;Hisse Senedi Yoğun, Yerli Hisse
DAI;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DAL;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DAS;Döviz Fon
DAT;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DAV;Döviz Fon
DAZ;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DB2;Kısa Vadeli
DBA;Altın Fonları, Emtia Fonları
DBB;K.D.
DBG;Serbest Özel Fonlar, Özel Fon
DBH;Döviz Fon, Eurobond Borçlanma Araçları
DBK;Kısa Vadeli, Kısa Vadeli Borçlanma Araçları
DBP;K.D.
DBZ;Borçlanma Araçları - Özel Sektör
DCB;Para Piyasası, Serbest Para Piyasası Fonları
DCD;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DCE;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DCN;Para Piyasası
DCP;Döviz Fon, Serbest Özel Fonlar, Özel Fon
DCV;Döviz Fon, Kar Payı Ödeyen Fonlar (Döviz)
