fon_kodu;fon_adi;kanal;islem_tipi;tarih;pay_sayisi;fiyat
BID;QNB PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2023-10-24;916;1.937645
BID;QNB PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);VKF;SATIM;2023-10-24;452;1.937645
RIK;RE-PIE PORTFÖY İKİNCİ DEĞİŞKEN FON;YKB;ALIM;2023-11-03;24976;1.763685
MMH;AKTİF PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);VKF;ALIM;2023-11-08;261;7.65468
GPG;INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON;VKF;ALIM;2023-11-08;100;5.823748
AES;AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU;YKB;ALIM;2023-11-09;10262;0.073084
CVK;INVEO PORTFÖY ÇOKLU VARLIK KATILIM FONU;YKB;ALIM;2023-11-09;801;1.871862
EYT;AKTİF PORTFÖY İKİNCİ FON SEPETİ FONU;YKB;ALIM;2023-11-09;480;1.040463
RIK;RE-PIE PORTFÖY İKİNCİ DEĞİŞKEN FON;YKB;SATIM;2023-11-30;24976;1.79987
BUY;AK PORTFÖY BÜYÜYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);VKF;SATIM;2023-12-01;1119;1.306149
IRF;İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ FONU;YKB;ALIM;2023-12-12;197;2.536678
ZFB;AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON;YKB;ALIM;2023-12-12;231;2.160194
OLD;QNB PORTFÖY TEMİZ ENERJİ VE SU FON SEPETİ FONU;VKF;ALIM;2023-12-20;789;1.901087
IJZ;İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON;VKF;ALIM;2023-12-20;477;5.236545
GPA;GARANTİ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU;VKF;ALIM;2023-12-20;131;11.429176
IEV;İŞ PORTFÖY TAŞIMACILIK DEĞİŞKEN FON;VKF;ALIM;2023-12-20;310;2.415127
TI7;İŞ PORTFÖY DENGELİ DEĞİŞKEN FON;VKF;ALIM;2023-12-20;52;38.039427
