fon_kodu;fon_adi;alis_tarihi;pay_sayisi;alis_fiyati;maliyet_tl
PHE;PUSULA PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);06.02.2026;5201;1,922399;9998,4
PHE;PUSULA PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);12.02.2026;19657;2,034847;39998,99
PPN;NUROL PORTFÖY PARA PİYASASI (TL) FONU;16.05.2024;31276;2,129459;66600,96
PPN;NUROL PORTFÖY PARA PİYASASI (TL) FONU;16.12.2024;19676;2,846035;55998,58
RBA;ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU;11.10.2023;532;5,628859;2994,55
RHI;RE-PIE PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);04.02.2026;17011;1,469614;24999,6
RHI;RE-PIE PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);06.02.2026;6964;1,435801;9998,92
RIK;RE-PIE PORTFÖY İKİNCİ DEĞİŞKEN FON;03.11.2023;2307;1,763685;4068,82
RIK;RE-PIE PORTFÖY İKİNCİ DEĞİŞKEN FON;04.09.2025;12362;4,044515;49998,29
RIK;RE-PIE PORTFÖY İKİNCİ DEĞİŞKEN FON;04.11.2025;19667;4,525308;88999,23
RIK;RE-PIE PORTFÖY İKİNCİ DEĞİŞKEN FON;05.03.2025;3225;3,100215;9998,19
RIK;RE-PIE PORTFÖY İKİNCİ DEĞİŞKEN FON;20.12.2023;267;1,868925;499,0
RTG;ATA PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON;20.12.2023;936;2,135676;1998,99
SVB;STRATEJİ PORTFÖY AGRESİF DEĞİŞKEN FON;11.10.2023;539;3,847171;2073,63
TFF;TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU;24.01.2024;174;17,150202;2984,14
TFF;TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU;29.01.2025;407;24,547784;9990,95
URA;ATA PORTFÖY ENERJİ DEĞİŞKEN FON;17.02.2026;8239;1,820514;14999,21
YAY;YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU;10.10.2023;2;487,588712;975,18
YAY;YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU;11.10.2023;2;509,025958;1018,05
YAY;YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU;24.01.2024;6;634,217894;3805,31
YJK;YAPI KREDİ PORTFÖY ROBOTİK VE YARI İLETKEN TEKNOLOJİLERİ FON SEPETİ FONU;21.02.2024;916;2,216034;2029,89
ZBJ;ZİRAAT PORTFÖY BAŞAK PARA PİYASASI (TL) FONU;16.05.2024;36134;1,937225;69999,69
ZFB;AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON;06.02.2024;31;2,514017;77,93
ZFB;AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON;07.02.2024;314;2,547807;800,01
ZFB;AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON;12.12.2023;231;2,160194;499,0
